clean_text,label
great reference the book was good kept my interest in no way am i finished reading it it isn t a book to read from front to back the information on each herb is detailed great reference material it was a good addition,1
great story but not on the kindle i read a review for a free version of this for the kindle that suggested you spend a buck or two to get a decent copy apparently the free version has more than its share of issues i figured this was still reasonably priced at so gave it a shot it s more or less readable but the frequency of errors is just inexcusable even if it is less than a dollar there are random breaks in mid paragraph and mid sentence random meaning there is no apparent reason for it they actually show up pretty consistently missing words at the start of chapters or paragraphs and several typos typos that don t exist in the print version i also bought the story itself is an easy stars there have to be better versions out there though,0
broke immediately it s hard to write a full words on a toy that broke on the very first use leaving me with a cheap piece of plastic and a crying five year old,0
a lovely little book on the the importance of simplicity in life this is a lovely little book it is filled with contemplations on the importance of simplicity and balance in one s life a busy woman who has focused her life on success becomes enamored of amish quilts her admiration is so great that she takes time out from her life to go and live with the amish there she reflects on her own values and comes to realize that the act of doing is as important as the outcome she also realizes that being a part of something rather than standing out from others is a more cooperative and giving way to live how the author juxtaposes the meaning of things with the sentiment reflected in the quilts is very lovely and meaningful i highly recommend this book for anyone who has ever had questions about what is important in life and their own core values,1
good its a good book if you are reading this review skip the first chapter i wish it had information of the newer os like os x i learn many simple things about macs i had no idea good book the is a newer mac bible take a look on that one,1
truly and excellent book actually i rate this an this was the first and the fifth and the last clavell novel that i have read yes i read it three times clavell even coproduced an excellent movie adaptation in the late s though filmed purposely in black and white which captured the entire mood of the book the reason that this book works so well is that clavell himself lived the story the character of peter marlowe is based on clavell himself and it shows this book is a brutal depressing display of humanity at its basest not for the light hearted but a must for anyone interested in wwii or in asia,1
hawthorne s masterpiece hawthorne s scarlet letter is a tale of secret love adultery and sadness every person should read this timeless american novel at some point in their life the strength of hester prynne is unusual for novels composed during the time this was published and is therefore a revolutionary literary work my only complaint is the length of the custom house however horrible this sounds i would just skip it it does not add to the plot of the novel anyway,1
love my rice cooker i love love love this rice cooker it was finally time that i got a decent cooker don t bother buying a cheap rice cooker it is a waste of money and they really can t compare to using a machine like this,1
owned these for years they re great i love the look of these and they ve been a great value about seven years ago i bought four of all sizes and only two are gone my grandchildren love the oversized ones in years i never found glasses that went with everything and survived so i m stocking up with this large set of my favorite sizes thank you amazon com,1
great book this novel grips your imagination from the very first pages kathy reichs can really write an attention getting story i love all of her books,1
awesome this cd was well worth the wait clay has one of the best voices i have ever heard and it comes through loud and clear with every song on this cd buy it you ll be happy you did,1
from the label from memphis tn comes the reatards fronted of course by wild kid jay reatard he starting off on eric oblivians label goner at the tender age of jay now is still rocking and offending the sensibilities of his community overdriven loud crackling guitars underlaying jay s southern crooning howl energizes some of the most amazing hate filled song writing we ve heard in years,1
quick service this style and the size my husband needs has not been available in our local stores i was able to find what i needed quickly online and the shipping was very prompt i would have given it five stars but he hasn t had time to try them on yet so i can t give a perfect score,1
great book i really enjoyed this book i found that it increased my faith to believe for the signs and wonders and the supernatural of god didn t always agree with everything that was written but there is no denying this man s faith hope and trust in god s word,1
despicable lyrics despicable lyrics promoting drugs and denigrating police destroy otherwise noteworthy and engaging rock music,0
more of a personal opinion than that of economics when i read something i like the whole story with some facts to back them up but what i got out of this book was a guy with one side of politics while giving his opinion although many of his policies i tend to agree with i just have a really hard time reading something when the entire book well i only got around a third way through it is swung in one way direction if you like reading about someone s opinion then you ll love this book but if you re like me and just like cold hard facts leaving it up to yourself at making your own opinion then don t buy this book,0
amazing i did not think i was going to like this film because the language is coarse and you have to read the subtitles to understand the scottish accents but this film shows you what happens when emotions not intellect control your behavior we are taken on an unbelievable roller coaster ride where anything that can go wrong does go wrong or does it really at one point in this movie i had to hit the pause button because i couldn t stop laughing and at the end i couldn t stop crying i want my mommy has never touched me like it did here this film is a masterpiece,1
heard it all before you know sometime his music all sounds the same don t get me wrong he is very very talented but this cd just really does nothing me it sounds like somthing that he has do before he just remasterd it try again kelly because you did not pull the sheets over my head with this one,0
big chill in little london a word of mouth film in turn sordid fascinating voyeuristic and sensational the filmmakers take the wake theme and give it a new twist from beyond the grave jude law narrates and shows a film of his friends to his friends they are shown as cowards cheats petty criminals adulterers and ultimately murderers the end is a shocker the acting superb in that fly on the wall documentary style ray whinstone steals most of his scenes check him out in sexy beast and final orders,1
brilliant i read this book over the summer and it was so good that i kept putting it down as i didn t want it to end dicken s tiny tim is now all grown up at in and is living in a london brothel where he teaches the mistress how to read and write in exchange for board he discovers three dead girls that have died in an unusual way and he sets out to find out how and why include a colourful cast that includes a street urchin and an italian orphan and you ve got yourself a fantastic brilliant read it is easily one of the best books i ve ever read,1
i must add my voice to those who are praising this movie it is fun it is profound it is whimsical it is confrontational everything that hollywood movies are not it is the kind of movie that demands repeated viewings a must buy,1
hostile nonsense written in the late thirties this book is a misguided attempt to interpret robespierre as a precursor to hitler and stalin it is a complete distortion of the aims and goals of the french revolution interested readers should pursue histories by thompson hampson jordan and rude instead to get a more accurate portrait of robespierre,0
america has hidden poverty poor have a culture of poverty white poor black poor urban poor rural poor are included this book was one of the driving forces behind the war on poverty of the kennedy and johnson administrations now conservatives more than liberals see that we have a culture of poverty with generations of welfare families help is needed but it has to be a workable solution liberals conservatives and radicals seem not to really understand this culture perhaps help will come from a revived labor movement,1
will take a laptop i have an xps gen inspiron which is long i had an older version of this backpack that the xps would just fit into snugly but alas the zipper teeth eventually broke off i was concerned that this backpack might be too small and after first slipping the laptop in it didn t but i discovered that theres a removable cushion liner at the bottom of the laptop slot attached with velcro removing that gave me an extra half an inch and voila the laptop fits albeit snugly again the laptop isn t completely unprotected at the bottom there s a hard plastic shell there as well and the snug fit keeps the laptop from sliding around is max though those with a larger laptop say the newer wide dell xps latops will probably want to seek another backpack,1
more info needed there are some many memory cards in the market that i think the list of the camera brands and models should be available with the product description so it will be easier to find the more convenient for the one we are looking for or when asking for products all of the choices for a specific brand of cameras will be presented in the results r limon,0
only shoe my husband will wear kudos to the hi tec designers manufacturers my husband wears these daily for all types of situations easy to keep clean and looking nice very durable almost no time to break them in design has stayed constant run true to size no need to change something that already works great will continue buying these in the future,1
boring i had actually purchased this movie at my local target store and i can say you cant judge a movie by its cover it may look all nice and fancy but there is only a total of stooges episodes on the first dvd the second dvd are all cartoons and the rd is all special features and exclusive interviews with the stooges families children grandchildren extremely disapointed,0
the greatest play on earth i was required to read this play for my ninth grade honors english class i was expecting it to be a good read but i found it to be an excellent read shakespeare is a true genius his witty puns and his enthralling details kept me grabbing onto every word i am a true romantic at heart and this was a very touching play the character development and the ironic plot twists are also a very nice touch if you have never read shakespeare before read this and you will be hooked on him forever,1
broken in a million pieces i ordered this item twice and both times it was broken in a million pieces and it has been discontiued by anchor hocking so i never got any of them so sad as it looked really nice and different so beware if you order,0
ever so wild two of frankie laine s great albums with johnny williams are reissued on one disc to excellent effect although the arrangements and style of these s albums resemble laine s and william s work on hell bent for leather in this case the songs are not cowboy songs but in the case of dueces wild gambling songs and in the case of the call of the wild klondike adventure songs no popular singer has ever explored this rough and ready terrain with frankie laine s success and it s a thrill to hear him charge through such masculine songs as call of the wild and roving gambler even songs that had proved major hits for other artists are remade in laine s image johnny horton s north to alaska comes to mind some may find these selections and arrangements trite and old fashioned and they are but the sheer strength and passion exhibited here is hard to dislike,1
great cd i loved the first cd but was doubtful about the cnd since i m used to the first cd being the better one alanis morissette i got a pleasant surpise since this one is just as sweet as the first one,1
essentials revoling tier shoe tree chrome i purchased the shoe tree for my mom for christmas she loved it its a space saver it handled pair of shoes no problem,1
not great but not horrible not gory either this wasn t that great a movie this is an examble of a stinkier sequel this movie though is a lot less gorier than the original two this movie did have some hilarios and cool moments and humor i like some of the movie even though the story wasn t thaaat good so it s ok if you like robocop movies get the popcorn and pepsi it s starting,0
pretty graphics but a waste of time and money bad not a good bad just plain bad people run backwards and weapons float in the air there is no thinking to do on a mission as long as you know how to pull a trigger missions are too short a lot of effort probably went into the game but it s still just plain and ugly bad,0
saving the past and returning to the present this book is about a boy who gets a toy castle as a gift and working with a knight going from the present into the past saving a old town from a evil ruler alastor the town was saved and they wanted the knight and the boy to rule their town but the boy refuses and goes back to the present and the knight stays to protect the town from any other evil rulers,1
jack rabbit the rotating beads jammed after uses and no longer work also the item is non returnable so i can t even return it and get a new one,0
a skilled rapist the acrid smell of sweat dung and animals coupled with the stifling heat permeates the village of macondo where the novel takes place incest murder and suicide are everyday happenings especially the first marquez pushes a dizzying and horrifying picture of the human condition which left me feeling as if i had been raped my options here seem to be either to dismiss marquez as an extraordinarily skilful madman or to go mad myself i choose the former an ugly novel not the less ugly for the undeniable talent with which it is executed i do not recommend it,0
think twice about buying this player i purchased this player last august and it worked fine for months even though i didn t play it much my intent was to use it primarily on plane flights suddenly and for no reason i was unable to easily insert the earphones into the player with a little effort i was finally able to insert the earphone but could not get any sound i contacted sandisk and was very disappointed with their response the player has a year warranty but it s very apparent that sandisk is attempting to discourage replacing defective products by making purchasers jump through hoops to test the product and prove it is defective rather than immediately fixing or replacing it if the player won t work as advertised why should i be inconvenienced as a result in addition a senior service person was supposed to contact me about the problem but has not done so i would never purchase a sandisk product in the future too difficult to deal with if there s a warranty problem,0
don t buy these were advertised to fit the habra stone they did not i don t know if they changed the advertisement since then but it was aid to be a package with the habra stone so i got it not even one piece fit threw them away,0
awesome my mom got this for me as a gift we were going away on a trip to florida i get bored really easily but it kept me entertained i think that they should manufacture all the neopets cause some other people might have other oppinions they might want a zafara quiggle or a ixi they should widen the variety for all the neopets lovers,1
why is the kindle version more expensive than the paperback i enjoy reading on my kindle i would rather have all of my reading content on it i like seeing new titles come out on it so i was very pleased to see this book that i looked at availble until i saw that it was more than if i ordered the paper back what are the publishers thinking does their greed know no bounds they have no print set up or fees no storage fees no shipping fees and yet they are going to raise the price up for the same digital copy that they sent to the press did they somehow grab the music industry s winning pr notebook while i want this book i am not supporting the publishing company s short sighted and greedy take on what they think a digital copy should cost amazon had it right when they launched the kindle for hot sellers yeah i can get behind that but i can t get behind what the publishers strong armed amazon into,0
wart stick convenient to use but doesn t work near as well as liquid also it s the size of lip gloss sticks so hard to confine to smaller area,0
a masterpiece i found to be a fascinating and realistic portrayal of human nature orwell s insight into the nature of governments is amazing and enlightening he has this detached slightly pessimistic attitude toward human nature that i love he is so frank about man s selfishness and greed not only as it relates to the governments in but also to the rebels like winston who in the end care only for themselves there are no glamorous heroes in just as there are any in real life orwell has stripped man of all glory and glamour and shown him in an honest if unflattering light i was also very impressed with orwell s thoroughness he described the society the history and most of all the language of the futuristic oceania in such detail is truly a masterpiece,1
amelia bedalia a fun book my daughter loves amelia bedalia as we live in spain and she only hears english from me it s a great way for her to learn the double meanings of many words,1
finally on dvd i have been waiting for this movie to hit dvd for years i was surprised by the price you can get this movie fromwarner bros website for only why is amazon making us by this dvd from a second party when i get this dvd i will write a review the wb website says this dvd has not been digitally remasteredfor this dvd hope this helps,1
no dice this is a book that serves no purpose i would not read again it does not do wat the title says it is,0
the worst of all the future sounds of jazz series this all sounds crappy fauna flash s drum n bass tune sounds so generic and boring that it makes everything else look bad the tunes here are not of the same quality of other cds in the series like vol i say skip this one its really boring and with the exception of like one song by tosca everything else is hit,0
washout this was given to me as a gift so i am not ungrateful however the mm waterproofing it states is not even a minimum allowance for being water repellent i would not chance this thing in a light sprinkle and the bottom stitching is so loose you can see daylight between some parts there is no logic in spending time seam sealing this tent the seams would be the only thing keeping the water out the rest would come right through the fabric walls itself this is kind of an expensive tent you wouldn t have to look too far to find a smarter option if it does not have at least a mm rating then you will get wet and that is a fact i cannot even image what this thing would do in the wind the thin poles are worse than the usual ones they put on the cheapest tents you have my sympathy if you pay over dollars for this tent,0
bad muslim there are many good muslims unfortunately the author mr mamdani is not one of them he is one of those verbal terrorists who continues to blame america and israel for his own disastrous failures and the inability of the arab and muslim world to get past the th century the chapters on america and israel s genocidal activities are filled with such ridiculous points that any year old could refute them if you would like to read a pathetic comedy this is the right book however it is more of a waste of good trees mahmood is just another leftist professor who continues to criticize and abuse the hand that feeds him america he is no different than the troubled child who abuses his wonderful parents and his silly book proves it irwin n graulich,0
boring i was made to read this for english and thoroughly disliked every moment of it i thought the plot was boring and it wasn t nearly as good as everyone appears to believe it is the only reason i am not giving star is because when i look back on the story i can sort of see it being realistic but then again every time i hear mention of this book i pretty much get nightmares,0
